logging to /Users/nadavminkowitz/neuron/neuron/results/activity2.tsv
one sample every 15s
recorded: app name, dwell, idle, notification COUNT, battery, audio, wifi
NOT recorded: window titles, URLs, keystrokes, clipboard, file names,
              screen contents, notification text

stop with Ctrl+C. Leave it running for a month.

  4520 samples, 12:54, Music, idle 1487s, notif 0
  4560 samples, 13:04, Music, idle 2087s, notif 0
  4600 samples, 13:14, Music, idle 2688s, notif 0
  4640 samples, 13:24, Music, idle 3288s, notif 0
  4680 samples, 13:34, Music, idle 3889s, notif 0
  4720 samples, 13:44, Music, idle 4489s, notif 0
  4760 samples, 13:54, Music, idle 5089s, notif 0
  4800 samples, 14:04, Music, idle 5690s, notif 0
  4840 samples, 14:14, Safari, idle 123s, notif 0
  4880 samples, 14:24, Safari, idle 0s, notif 0
  4920 samples, 14:34, Safari, idle 317s, notif 0
  4960 samples, 14:44, Safari, idle 48s, notif 0
  5000 samples, 17:12, Safari, idle 0s, notif 0
  5040 samples, 17:22, Safari, idle 21s, notif 0
  5080 samples, 17:32, Code, idle 25s, notif 0
  5120 samples, 17:46, Code, idle 0s, notif 0
  5160 samples, 17:56, Music, idle 3s, notif 0
  5200 samples, 18:06, Music, idle 5s, notif 0
  5240 samples, 18:16, Safari, idle 214s, notif 0
  5280 samples, 18:26, Safari, idle 25s, notif 0
  5320 samples, 18:36, Safari, idle 37s, notif 0
  5360 samples, 19:09, Safari, idle 0s, notif 0
  5400 samples, 19:19, Code, idle 95s, notif 0
  5440 samples, 19:29, Safari, idle 132s, notif 0
  5480 samples, 19:55, Safari, idle 85s, notif 0
  5520 samples, 20:05, Code, idle 38s, notif 0
  5560 samples, 20:23, Code, idle 8s, notif 0
  5600 samples, 20:38, Code, idle 20s, notif 0
  5640 samples, 21:05, Code, idle 201s, notif 0
  5680 samples, 22:11, Safari, idle 0s, notif 0
  5720 samples, 02:20, Safari, idle 528s, notif 0
  5760 samples, 06:59, Safari, idle 1128s, notif 0
  5800 samples, 08:04, Safari, idle 0s, notif 0
  5840 samples, 08:22, Safari, idle 0s, notif 0
  5880 samples, 08:32, Safari, idle 0s, notif 0
  5920 samples, 08:42, Safari, idle 3s, notif 0
  5960 samples, 09:42, Safari, idle 3s, notif 0
  6000 samples, 09:52, Safari, idle 0s, notif 0
